,Eigen-Patient
ITGA6,-0.10025951680329429
TNFSF13B,-0.098822477925431
RASA3,-0.09847631218885346
SORBS1,-0.09842055524817535
BMP1,-0.09838550039840196
NR3C1,-0.09813706909680793
TMC8,-0.09789594416909497
LHFP,-0.09714760703309515
SPRY1,-0.09709039894207785
KCNAB2,-0.09689205902994893
HAVCR2,-0.09675721079527583
ABLIM1,-0.0956822399387692
FLI1,-0.09561115448955523
LAD1,-0.09546173761501765
CDH5,-0.09528438875819786
TNFAIP8,-0.09466542912985436
AMOTL1,-0.09367414691127522
TRIM47,-0.09293108746902995
SVEP1,-0.09250759884187197
GPRC5B,-0.09250688219316099
TCN2,-0.09226917449484144
PTPRCAP,-0.09182497924732548
UBE2E3,-0.0916475803874218
SPN,-0.09158844439442917
LRRC8C,-0.09021599275029549
APBB1IP,-0.09008103775917504
LPIN1,-0.089657409830268
TLR4,-0.08957909553893853
DKK3,-0.0893117722648034
LCK,-0.08916867707159895
FCGR2B,-0.08912270035267614
FOXO1,-0.08910016686224428
TNFRSF21,-0.08869776126971392
BHLHE41,-0.08865962042550617
CAV2,-0.0886299378647343
EMILIN2,-0.08839246323706884
ZEB1,-0.08797585227866171
JAG1,-0.08758066344108499
SPRED1,-0.08754042103813682
KIT,-0.08751925896078024
PGAP3,-0.08748426045864034
ITIH5,-0.08743677708174831
C1QTNF1,-0.08716568913342122
NFE2L3,-0.08644672769389537
PRDM1,-0.08625603430887024
UNC13D,-0.0861053103555921
SLC6A6,-0.08559047600256404
TCF7,-0.08500366055200181
RGS16,-0.08496669101284281
TRAF1,-0.08487036447833085
KIF26B,-0.08453312821942936
MEF2C,-0.08420175731247953
MAML2,-0.08333755016722355
TINAGL1,-0.08325046026016197
TRANK1,-0.08310191131201726
GNG2,-0.08250301685995828
GRB7,-0.08245128208506393
PCDHGC3,-0.08222361709799764
HLA-DQB2,-0.08194067093841091
EGR2,-0.08187414554802291
PARVG,-0.08155575707536723
CD6,-0.08102636638657768
TGFB3,-0.08030097197686661
IFI44,-0.07995097232854326
