,Stemness,,,,,,,,,
TCGA-69-A59K,-0.154992228,,,,,,,,,
TCGA-97-A4M2,-0.484463487,,,,,,,,,
TCGA-44-3398,0.238209513,,,,,,,,,
TCGA-50-5049,0.33507173,,,,,,,,,
TCGA-55-A4DF,0.317383438,,,,,,,,,
TCGA-78-7161,-0.320314254,,,,,,,,,
TCGA-95-8039,-0.076576378,,,,,,,,,
TCGA-50-5045,0.251310054,,,,,,,,,
TCGA-55-8204,0.195643605,,,,,,,,,
TCGA-44-2666,0.069736735,,,,,,,,,
TCGA-49-AAQV,-0.143533497,,,,,,,,,
TCGA-35-5375,0.187657827,,,,,,,,,
TCGA-55-7914,0.101205638,,,,,,,,,
TCGA-64-5779,-0.142543071,,,,,,,,,
TCGA-50-6673,-0.178385854,,,,,,,,,
TCGA-MN-A4N5,-0.236034875,,,,,,,,,
TCGA-44-A47A,-0.137428411,,,,,,,,,
TCGA-50-6594,-0.025122907,,,,,,,,,
TCGA-73-A9RS,-0.05795445,,,,,,,,,
TCGA-91-6830,-0.110957318,,,,,,,,,
TCGA-67-6216,-0.210719669,,,,,,,,,
TCGA-44-7670,0.091284208,,,,,,,,,
TCGA-78-7145,0.233133512,,,,,,,,,
TCGA-NJ-A4YI,-0.431278327,,,,,,,,,
TCGA-95-A4VK,-0.336874773,,,,,,,,,
TCGA-55-7726,0.194538219,,,,,,,,,
TCGA-55-8513,-0.458552092,,,,,,,,,
TCGA-93-7348,-0.329968296,,,,,,,,,
TCGA-75-7025,-0.405345286,,,,,,,,,
TCGA-05-4250,0.404224926,,,,,,,,,
TCGA-93-8067,-0.046633068,,,,,,,,,
TCGA-55-7995,0.104897028,,,,,,,,,
TCGA-35-4123,0.348998769,,,,,,,,,
TCGA-55-7573,-0.416773739,,,,,,,,,
TCGA-64-1681,-0.258359876,,,,,,,,,
TCGA-05-4425,0.160744704,,,,,,,,,
TCGA-55-8203,0.096943597,,,,,,,,,
TCGA-38-4631,0.143568782,,,,,,,,,
TCGA-MP-A4TH,-0.373827866,,,,,,,,,
TCGA-38-4628,0.078933143,,,,,,,,,
TCGA-80-5608,-0.147594999,,,,,,,,,
