,Proliferation,,,,,,,,
TCGA-NJ-A4YF,-0.206734224,,,,,,,,
TCGA-62-A46Y,-0.288297425,,,,,,,,
TCGA-38-4630,0.134800433,,,,,,,,
TCGA-55-A57B,-0.358553086,,,,,,,,
TCGA-44-A47G,-0.314998653,,,,,,,,
TCGA-05-4417,-0.366198443,,,,,,,,
TCGA-44-8119,0.146856644,,,,,,,,
TCGA-62-A46O,0.114701287,,,,,,,,
TCGA-J2-A4AD,-0.050183864,,,,,,,,
TCGA-50-5072,0.091824788,,,,,,,,
TCGA-44-2655,-0.251068792,,,,,,,,
TCGA-55-1594,0.059528613,,,,,,,,
TCGA-91-6831,0.045243777,,,,,,,,
TCGA-55-A494,-0.042759118,,,,,,,,
TCGA-50-5066,-0.190325663,,,,,,,,
TCGA-78-7147,0.023499216,,,,,,,,
TCGA-86-8054,0.180280619,,,,,,,,
TCGA-05-4434,0.125982188,,,,,,,,
TCGA-55-A48Y,-0.00673605,,,,,,,,
TCGA-86-8076,-0.403059711,,,,,,,,
TCGA-NJ-A7XG,-0.339093672,,,,,,,,
TCGA-95-7567,0.177920275,,,,,,,,
TCGA-73-4658,-0.329574408,,,,,,,,
TCGA-55-7910,-0.178174055,,,,,,,,
TCGA-97-A4M0,-0.295317026,,,,,,,,
TCGA-97-A4M5,-0.428585118,,,,,,,,
TCGA-75-5126,-0.26350044,,,,,,,,
TCGA-78-7540,-0.266887347,,,,,,,,
TCGA-67-4679,-0.435598296,,,,,,,,
TCGA-55-6980,-0.539874267,,,,,,,,
TCGA-80-5607,-0.255272212,,,,,,,,
TCGA-J2-8194,-0.352770635,,,,,,,,
TCGA-38-6178,-0.399295673,,,,,,,,
TCGA-49-AAR4,-0.307320798,,,,,,,,
TCGA-MP-A4TJ,-0.378015725,,,,,,,,
TCGA-55-7576,0.176620588,,,,,,,,
TCGA-MP-A4T7,-0.07821981,,,,,,,,
TCGA-L4-A4E5,0.088918935,,,,,,,,
TCGA-75-5147,0.036582471,,,,,,,,
TCGA-44-5643,0.058822131,,,,,,,,
TCGA-86-A456,-0.421043284,,,,,,,,
TCGA-86-8668,-0.461332716,,,,,,,,
